"lang"
{
"Language"	"tchinese"
"TF_SNIPER_KILL_UNSCOPED_DESC"	"使用狙擊槍但不用狙擊鏡，殺掉 5 名敵人。"
"[english]TF_SNIPER_KILL_UNSCOPED_DESC"	"Get 5 kills with the Sniper Rifle without your scope."
"TF_SNIPER_KILL_CHARGED_MEDIC_NAME"	"ÜberCharge 剋星"
"[english]TF_SNIPER_KILL_CHARGED_MEDIC_NAME"	"Überectomy"
"TF_SNIPER_KILL_CHARGED_MEDIC_DESC"	"殺死一名正準備部署 ÜberCharge 的 Medic。"
"[english]TF_SNIPER_KILL_CHARGED_MEDIC_DESC"	"Kill a Medic that is ready to deploy an ÜberCharge."
"TF_SNIPER_GET_BACKSTABBED_NAME"	"安慰獎"
"[english]TF_SNIPER_GET_BACKSTABBED_NAME"	"Consolation Prize"
"TF_SNIPER_GET_BACKSTABBED_DESC"	"遭背刺 50 次。"
"[english]TF_SNIPER_GET_BACKSTABBED_DESC"	"Get backstabbed 50 times."
"TF_SNIPER_KILL_AT_ROUNDSTART_NAME"	"大敵當前"
"[english]TF_SNIPER_KILL_AT_ROUNDSTART_NAME"	"Enemy at the Gate"
"TF_SNIPER_KILL_AT_ROUNDSTART_DESC"	"在回合開始的第一秒內殺死敵人。"
"[english]TF_SNIPER_KILL_AT_ROUNDSTART_DESC"	"Kill an opponent within the first second of a round."
"TF_SNIPER_HEADSHOT_POST_INVULN_NAME"	"臨別感言"
"[english]TF_SNIPER_HEADSHOT_POST_INVULN_NAME"	"Parting Shot"
"TF_SNIPER_HEADSHOT_POST_INVULN_DESC"	"在敵人的無敵狀態消退的當下，射中敵人頭部。"
"[english]TF_SNIPER_HEADSHOT_POST_INVULN_DESC"	"Headshot an enemy player the moment his invulnerability wears off."
"TF_SNIPER_TOP_SCOREBOARD_GRIND_NAME"	"輝煌的職業生涯"
"[english]TF_SNIPER_TOP_SCOREBOARD_GRIND_NAME"	"My Brilliant Career"
"TF_SNIPER_TOP_SCOREBOARD_GRIND_DESC"	"在六名以上的玩家隊伍中，10度雄據計分板冠軍。"
"[english]TF_SNIPER_TOP_SCOREBOARD_GRIND_DESC"	"Top the scoreboard 10 times on teams of 6 or more players."
"TF_SNIPER_KILL_FAILED_SPY_NAME"	"震撼治療"
"[english]TF_SNIPER_KILL_FAILED_SPY_NAME"	"Shock Treatment"
"TF_SNIPER_KILL_FAILED_SPY_DESC"	"殺死試圖背刺你的 Spy，其背刺攻擊剛好被你的刀背檔下。"
"[english]TF_SNIPER_KILL_FAILED_SPY_DESC"	"Kill a spy whose backstab attempt was blocked by your Razorback."
"TF_SNIPER_JARATE_GROUP_NAME"	"滲透轟炸"
"[english]TF_SNIPER_JARATE_GROUP_NAME"	"Saturation Bombing"
"TF_SNIPER_JARATE_GROUP_DESC"	"只丟一個罐子就擊中 4 名敵人。"
"[english]TF_SNIPER_JARATE_GROUP_DESC"	"Jarate 4 enemy players with a single throw."
"TF_SNIPER_JARATE_MEDIC_PAIR_NAME"	"從中破壞"
"[english]TF_SNIPER_JARATE_MEDIC_PAIR_NAME"	"Rain on Their Parade"
"TF_SNIPER_JARATE_MEDIC_PAIR_DESC"	"用罐子攻擊敵人，而 Medic 正在治療他。"
"[english]TF_SNIPER_JARATE_MEDIC_PAIR_DESC"	"Jarate an enemy and the Medic healing him."
"TF_SNIPER_JARATE_REVEAL_SPY_NAME"	"罐子戲法"
"[english]TF_SNIPER_JARATE_REVEAL_SPY_NAME"	"Jarring Transition"
"TF_SNIPER_JARATE_REVEAL_SPY_DESC"	"使用罐子讓隱形的 Spy 現身。"
"[english]TF_SNIPER_JARATE_REVEAL_SPY_DESC"	"Use Jarate to reveal a cloaked Spy."
"TF_SNIPER_JARATE_EXTINGUISH_NAME"	"友誼金堅"
"[english]TF_SNIPER_JARATE_EXTINGUISH_NAME"	"Friendship is Golden"
"TF_SNIPER_JARATE_EXTINGUISH_DESC"	"使用罐子幫著火的隊友滅火。"
"[english]TF_SNIPER_JARATE_EXTINGUISH_DESC"	"Extinguish a burning teammate with your Jarate."
"TF_SNIPER_BOW_PIN_HEAVY_NAME"	"暴虐英雄"
"[english]TF_SNIPER_BOW_PIN_HEAVY_NAME"	"William Tell Overkill"
"TF_SNIPER_BOW_PIN_HEAVY_DESC"	"將武器穿過敵方 Heavy 的頭部，將他釘在牆上。"
"[english]TF_SNIPER_BOW_PIN_HEAVY_DESC"	"Pin an enemy Heavy to the wall via his head."
"TF_SNIPER_BOW_KILL_MEDIC_PAIR_NAME"	"百步穿楊"
"[english]TF_SNIPER_BOW_KILL_MEDIC_PAIR_NAME"	"Beaux and Arrows"
"TF_SNIPER_BOW_KILL_MEDIC_PAIR_DESC"	"使用十字弓殺死一對 Heavy 與 Medic 搭檔。"
"[english]TF_SNIPER_BOW_KILL_MEDIC_PAIR_DESC"	"Kill a Heavy & Medic pair with the bow."
"TF_SNIPER_BOW_KILL_FLAGCARRIER_NAME"	"俠盜羅賓漢"
"[english]TF_SNIPER_BOW_KILL_FLAGCARRIER_NAME"	"Robbin’ Hood"
"TF_SNIPER_BOW_KILL_FLAGCARRIER_DESC"	"單箭制伏攜帶情報的敵人。"
"[english]TF_SNIPER_BOW_KILL_FLAGCARRIER_DESC"	"Take down an intelligence carrier with a single arrow."
"TF_SNIPER_BOW_PINCUSHION_NAME"	"座如針氈"
"[english]TF_SNIPER_BOW_PINCUSHION_NAME"	"Pincushion"
"TF_SNIPER_BOW_PINCUSHION_DESC"	"使用 3 枝箭擊中敵人，但不殺死敵人。"
"[english]TF_SNIPER_BOW_PINCUSHION_DESC"	"Hit an enemy with 3 arrows, without killing them."
"TF_SNIPER_JARATE_ASSISTS_NAME"	"助攻王"
"[english]TF_SNIPER_JARATE_ASSISTS_NAME"	"Number One Assistant"
"TF_SNIPER_JARATE_ASSISTS_DESC"	"在單一回合中使用罐子成功助攻 5 次。"
"[english]TF_SNIPER_JARATE_ASSISTS_DESC"	"Score 5 assists with the Jarate in a single round."
"TF_SNIPER_JARATE_KILL_MELEE_NAME"	"罐刀合一"
"[english]TF_SNIPER_JARATE_KILL_MELEE_NAME"	"Jarate Chop"
"TF_SNIPER_JARATE_KILL_MELEE_DESC"	"丟罐子然後使用喀爾克大彎刀殺死 3 名敵人。"
"[english]TF_SNIPER_JARATE_KILL_MELEE_DESC"	"Jarate and then kill 3 enemies with your Kukri."
"TF_SNIPER_TAUNT_KILL_NAME"	"箭擊"
"[english]TF_SNIPER_TAUNT_KILL_NAME"	"Shafted"
"TF_SNIPER_TAUNT_KILL_DESC"	"使用弓箭刺殺敵人。"
"[english]TF_SNIPER_TAUNT_KILL_DESC"	"Stab an enemy with an arrow."
"TF_SNIPER_BOW_KILL_WHILEDEAD_NAME"	"死亡復仇"
"[english]TF_SNIPER_BOW_KILL_WHILEDEAD_NAME"	"Dead Reckoning"
"TF_SNIPER_BOW_KILL_WHILEDEAD_DESC"	"在你死亡的同時以弓箭殺死敵人。"
"[english]TF_SNIPER_BOW_KILL_WHILEDEAD_DESC"	"Kill an enemy with an arrow while you're dead."
"TF_SNIPER_ACHIEVE_PROGRESS1_NAME"	"Sniper 里程碑 1"
"[english]TF_SNIPER_ACHIEVE_PROGRESS1_NAME"	"Sniper Milestone 1"
"TF_SNIPER_ACHIEVE_PROGRESS1_DESC"	"達成在 Sniper Pack 中的 5 項成就。"
"[english]TF_SNIPER_ACHIEVE_PROGRESS1_DESC"	"Achieve 5 of the achievements in the Sniper pack."
"TF_SNIPER_ACHIEVE_PROGRESS2_NAME"	"Sniper 里程碑 2"
"[english]TF_SNIPER_ACHIEVE_PROGRESS2_NAME"	"Sniper Milestone 2"
"TF_SNIPER_ACHIEVE_PROGRESS2_DESC"	"達成在 Sniper Pack 中的 11 項成就。"
"[english]TF_SNIPER_ACHIEVE_PROGRESS2_DESC"	"Achieve 11 of the achievements in the Sniper pack."
"TF_SNIPER_ACHIEVE_PROGRESS3_NAME"	"Sniper 里程碑 3"
"[english]TF_SNIPER_ACHIEVE_PROGRESS3_NAME"	"Sniper Milestone 3"
"TF_SNIPER_ACHIEVE_PROGRESS3_DESC"	"達成在 Sniper Pack 中的 17 項成就。"
"[english]TF_SNIPER_ACHIEVE_PROGRESS3_DESC"	"Achieve 17 of the achievements in the Sniper pack."
"TF_SPY_BACKSTAB_SNIPERS_NAME"	"以一擋三"
"[english]TF_SPY_BACKSTAB_SNIPERS_NAME"	"Triplecrossed"
"TF_SPY_BACKSTAB_SNIPERS_DESC"	"只用一條命背刺 3 名 Sniper。"
"[english]TF_SPY_BACKSTAB_SNIPERS_DESC"	"Backstab 3 Snipers in a single life."
"TF_SPY_FREEZECAM_FLICK_NAME"	"賞心悅目"
"[english]TF_SPY_FREEZECAM_FLICK_NAME"	"For Your Eyes Only"
"TF_SPY_FREEZECAM_FLICK_DESC"	"送敵人一張你在他們屍體上彈煙灰的畫面快照。"
"[english]TF_SPY_FREEZECAM_FLICK_DESC"	"Provide an enemy with a freezecam shot of you flicking a cigarette onto their corpse."
"TF_SPY_BACKSTAB_DISGUISED_SPY_NAME"	"反間諜"
"[english]TF_SPY_BACKSTAB_DISGUISED_SPY_NAME"	"Counter Espionage"
"TF_SPY_BACKSTAB_DISGUISED_SPY_DESC"	"背刺偽裝的 Spy。"
"[english]TF_SPY_BACKSTAB_DISGUISED_SPY_DESC"	"Backstab a disguised Spy."
"TF_SPY_BACKSTAB_DISGUISE_TARGET_NAME"	"盜取身份"
"[english]TF_SPY_BACKSTAB_DISGUISE_TARGET_NAME"	"Identity Theft"
"TF_SPY_BACKSTAB_DISGUISE_TARGET_DESC"	"背刺你正在偽裝的敵人。"
"[english]TF_SPY_BACKSTAB_DISGUISE_TARGET_DESC"	"Backstab the enemy that you're currently disguised as."
"TF_SPY_TAUNT_KILL_NAME"	"擊劍高手"
"[english]TF_SPY_TAUNT_KILL_NAME"	"The Man from P.U.N.C.T.U.R.E."
"TF_SPY_TAUNT_KILL_DESC"	"使用擊劍時刺中敵人。"
"[english]TF_SPY_TAUNT_KILL_DESC"	"Stab an enemy while fencing."
"TF_SPY_BACKSTAB_MEDIC_HEALING_YOU_NAME"	"對了，我是 Spy"
"[english]TF_SPY_BACKSTAB_MEDIC_HEALING_YOU_NAME"	"FYI I am a Spy"
"TF_SPY_BACKSTAB_MEDIC_HEALING_YOU_DESC"	"在最後 5 秒背刺還在治療你的 Medic。"
"[english]TF_SPY_BACKSTAB_MEDIC_HEALING_YOU_DESC"	"Backstab a Medic who has healed you in the last 5 seconds."
"TF_SPY_BACKSTAB_ENGY_SAP_BUILDING_NAME"	"爛槍俠"
"[english]TF_SPY_BACKSTAB_ENGY_SAP_BUILDING_NAME"	"The Man with the Broken Guns"
"TF_SPY_BACKSTAB_ENGY_SAP_BUILDING_DESC"	"在 10 秒內背刺 Engineer，然後破壞 3 棟他的建築。"
"[english]TF_SPY_BACKSTAB_ENGY_SAP_BUILDING_DESC"	"Backstab an Engineer, then sap 3 of his buildings within 10 seconds."
"TF_SPY_SAP_BUILDING_BACKSTAB_ENGY_NAME"	"破壞者"
"[english]TF_SPY_SAP_BUILDING_BACKSTAB_ENGY_NAME"	"Sapsucker"
"TF_SPY_SAP_BUILDING_BACKSTAB_ENGY_DESC"	"在 5 秒內破壞敵方建築，然後背刺建造該建築的 Engineer。"
"[english]TF_SPY_SAP_BUILDING_BACKSTAB_ENGY_DESC"	"Sap an enemy building, then backstab the Engineer who built it within 5 seconds."
"TF_SPY_BACKSTAB_MEDIC_PAIR_NAME"	"我可以插一腳嗎？"
"[english]TF_SPY_BACKSTAB_MEDIC_PAIR_NAME"	"May I Cut In?"
"TF_SPY_BACKSTAB_MEDIC_PAIR_DESC"	"分別在在十秒內背刺敵人以及正在治療該名敵人的 Medic。"
"[english]TF_SPY_BACKSTAB_MEDIC_PAIR_DESC"	"Backstab an enemy and the Medic healing him within 10 seconds of each other."
"TF_SPY_BACKSTAB_FRIENDS_NAME"	"超級間諜"
"[english]TF_SPY_BACKSTAB_FRIENDS_NAME"	"Agent Provocateur"
"TF_SPY_BACKSTAB_FRIENDS_DESC"	"背刺你的 Steam 社群好友 10 次。"
"[english]TF_SPY_BACKSTAB_FRIENDS_DESC"	"Backstab your Steam Community friends 10 times."
"TF_SPY_DOMINATE_SNIPER_NAME"	"狙擊剋星"
"[english]TF_SPY_DOMINATE_SNIPER_NAME"	"The Melbourne Supremacy"
"TF_SPY_DOMINATE_SNIPER_DESC"	"壓制 Sniper。"
"[english]TF_SPY_DOMINATE_SNIPER_DESC"	"Dominate a Sniper."
"TF_SPY_BUMP_CLOAKED_SPY_NAME"	"諜諜撞撞"
"[english]TF_SPY_BUMP_CLOAKED_SPY_NAME"	"Spies Like Us"
"TF_SPY_BUMP_CLOAKED_SPY_DESC"	"隱形時，撞見敵方的隱形 Spy。"
"[english]TF_SPY_BUMP_CLOAKED_SPY_DESC"	"While cloaked, bump into an enemy cloaked Spy."
"TF_SPY_KILL_SPY_WITH_KNIFE_NAME"	"刀起人亡"
"[english]TF_SPY_KILL_SPY_WITH_KNIFE_NAME"	"A Cut Above"
"TF_SPY_KILL_SPY_WITH_KNIFE_DESC"	"使用刀子殺死持槍的 Spy。"
"[english]TF_SPY_KILL_SPY_WITH_KNIFE_DESC"	"Kill a gun-wielding Spy with your knife."
"TF_SPY_SURVIVE_BURNING_NAME"	"燙傷須知"
"[english]TF_SPY_SURVIVE_BURNING_NAME"	"Burn Notice"
"TF_SPY_SURVIVE_BURNING_DESC"	"隱形時遭受火燒但存活了 30 秒。"
"[english]TF_SPY_SURVIVE_BURNING_DESC"	"Survive 30 seconds after being ignited while cloaked."
"TF_SPY_BREAK_SHIELD_KILL_SNIPER_NAME"	"另類死法"
"[english]TF_SPY_BREAK_SHIELD_KILL_SNIPER_NAME"	"Die Another Way"
"TF_SPY_BREAK_SHIELD_KILL_SNIPER_DESC"	"用背刺砍穿 Sniper 的刀背，殺死 Sniper。"
"[english]TF_SPY_BREAK_SHIELD_KILL_SNIPER_DESC"	"Kill a Sniper after your backstab breaks his Razorback."
"TF_SPY_KILL_WORKING_ENGY_NAME"	"破壞建設"
"[english]TF_SPY_KILL_WORKING_ENGY_NAME"	"Constructus Interruptus"
"TF_SPY_KILL_WORKING_ENGY_DESC"	"殺死正在建造步哨防禦槍的 Engineer。"
"[english]TF_SPY_KILL_WORKING_ENGY_DESC"	"Kill an Engineer who is working on a sentry gun."
"TF_SPY_FAST_CAP_NAME"	"秘密據點"
"[english]TF_SPY_FAST_CAP_NAME"	"On Her Majesty’s Secret Surface"
"TF_SPY_FAST_CAP_DESC"	"據點出現後一秒鐘內開始佔領據點。"
"[english]TF_SPY_FAST_CAP_DESC"	"Start capping a capture point within a second of it becoming available."
"TF_SPY_MEDIC_HEALING_KILL_ENEMY_NAME"	"保險詐騙"
"[english]TF_SPY_MEDIC_HEALING_KILL_ENEMY_NAME"	"Insurance Fraud"
"TF_SPY_MEDIC_HEALING_KILL_ENEMY_DESC"	"你接受敵方 Medic 治療時，殺死一名敵人。"
"[english]TF_SPY_MEDIC_HEALING_KILL_ENEMY_DESC"	"Kill an enemy while you're being healed by an enemy Medic."
"TF_SPY_KILL_CP_DEFENDERS_NAME"	"據點終結者"
"[english]TF_SPY_KILL_CP_DEFENDERS_NAME"	"Point Breaker"
"TF_SPY_KILL_CP_DEFENDERS_DESC"	"殺死 15 名站在敵方控制點的敵人。"
"[english]TF_SPY_KILL_CP_DEFENDERS_DESC"	"Kill 15 enemies who are standing on a control point they own."
"TF_SPY_BACKSTAB_DOMINATING_ENEMY_NAME"	"高價目標"
"[english]TF_SPY_BACKSTAB_DOMINATING_ENEMY_NAME"	"High Value Target"
"TF_SPY_BACKSTAB_DOMINATING_ENEMY_DESC"	"背刺正壓制己方 3 名以上隊友的敵人。"
"[english]TF_SPY_BACKSTAB_DOMINATING_ENEMY_DESC"	"Backstab an enemy who is dominating 3 or more of your teammates."
"TF_SPY_REVENGE_WITH_BACKSTAB_NAME"	"死神復仇"
"[english]TF_SPY_REVENGE_WITH_BACKSTAB_NAME"	"Come in From the Cold"
"TF_SPY_REVENGE_WITH_BACKSTAB_DESC"	"使用背刺復仇殺敵。"
"[english]TF_SPY_REVENGE_WITH_BACKSTAB_DESC"	"Get a Revenge kill with a backstab."
"TF_SPY_KNIFE_KILL_WHILE_JARATED_NAME"	"濕殺"
"[english]TF_SPY_KNIFE_KILL_WHILE_JARATED_NAME"	"Wetwork"
"TF_SPY_KNIFE_KILL_WHILE_JARATED_DESC"	"在罐子武器的加持下刺殺敵人至死。"
"[english]TF_SPY_KNIFE_KILL_WHILE_JARATED_DESC"	"Stab an enemy to death while under the influence of Jarate."
"TF_SPY_BACKSTAB_QUICK_KILLS_NAME"	"連續背刺"
"[english]TF_SPY_BACKSTAB_QUICK_KILLS_NAME"	"You Only Shiv Thrice"
"TF_SPY_BACKSTAB_QUICK_KILLS_DESC"	"10 秒內背刺 3 名敵人。"
"[english]TF_SPY_BACKSTAB_QUICK_KILLS_DESC"	"Backstab 3 enemies within 10 seconds."
"TF_SPY_BACKSTAB_GRIND_NAME"	"間諜大師"
"[english]TF_SPY_BACKSTAB_GRIND_NAME"	"Spymaster"
"TF_SPY_BACKSTAB_GRIND_DESC"	"背刺 1000 名敵人。"
"[english]TF_SPY_BACKSTAB_GRIND_DESC"	"Backstab 1000 enemies."
"TF_SPY_SAPPER_GRIND_NAME"	"破壞大師"
"[english]TF_SPY_SAPPER_GRIND_NAME"	"Sap Auteur"
"TF_SPY_SAPPER_GRIND_DESC"	"使用電子破壞器摧毀 1000 棟 Engineer 建築。"
"[english]TF_SPY_SAPPER_GRIND_DESC"	"Destroy 1000 Engineer buildings with sappers."
"TF_SPY_SAPPER_TEAMWORK_NAME"	"聯合行動"
"[english]TF_SPY_SAPPER_TEAMWORK_NAME"	"Joint Operation"
"TF_SPY_SAPPER_TEAMWORK_DESC"	"在隊友攻擊其他防禦槍的 3 秒內，攻擊敵方步哨防禦槍。"
"[english]TF_SPY_SAPPER_TEAMWORK_DESC"	"Sap an enemy sentry gun within 3 seconds of a teammate sapping another."
"TF_SPY_BACKSTAB_MEDIC_CHARGED_NAME"	"不不博士"
"[english]TF_SPY_BACKSTAB_MEDIC_CHARGED_NAME"	"Dr. Nooooo"
"TF_SPY_BACKSTAB_MEDIC_CHARGED_DESC"	"背刺一名正準備部署 ÜberCharge 的 Medic。"
"[english]TF_SPY_BACKSTAB_MEDIC_CHARGED_DESC"	"Backstab a Medic that is ready to deploy an ÜberCharge."
"TF_SPY_BACKSTAB_CAPPING_ENEMIES_NAME"	"安全了嗎？"
"[english]TF_SPY_BACKSTAB_CAPPING_ENEMIES_NAME"	"Is It Safe?"
"TF_SPY_BACKSTAB_CAPPING_ENEMIES_DESC"	"背刺 50 名想要佔領控制點的敵人。"
"[english]TF_SPY_BACKSTAB_CAPPING_ENEMIES_DESC"	"Backstab 50 enemies who are capturing control points."
"TF_SPY_BACKSTAB_ENEMY_SWITCH_PYRO_NAME"	"刺殺轉生"
"[english]TF_SPY_BACKSTAB_ENEMY_SWITCH_PYRO_NAME"	"Slash and Burn"
"TF_SPY_BACKSTAB_ENEMY_SWITCH_PYRO_DESC"	"背刺敵人，接著對方重生前會變成 Pyro。"
"[english]TF_SPY_BACKSTAB_ENEMY_SWITCH_PYRO_DESC"	"Backstab an enemy, who then switches to Pyro before they respawn."
"TF_SPY_AMBASSADOR_GRIND_NAME"	"外交手腕"
"[english]TF_SPY_AMBASSADOR_GRIND_NAME"	"Diplomacy"
"TF_SPY_AMBASSADOR_GRIND_DESC"	"使用 Ambassador 殺死 50 名敵人。"
"[english]TF_SPY_AMBASSADOR_GRIND_DESC"	"Kill 50 enemies with the Ambassador."
"TF_SPY_AMBASSADOR_SNIPER_GRIND_NAME"	"獵頭高手"
"[english]TF_SPY_AMBASSADOR_SNIPER_GRIND_NAME"	"Skullpluggery"
"TF_SPY_AMBASSADOR_SNIPER_GRIND_DESC"	"使用 Ambassador 射中 20 名 Sniper 的頭部。"
"[english]TF_SPY_AMBASSADOR_SNIPER_GRIND_DESC"	"Headshot 20 Snipers with the Ambassador."
"TF_SPY_FEIGN_DEATH_KILL_NAME"	"守衛殺手"
"[english]TF_SPY_FEIGN_DEATH_KILL_NAME"	"Sleeper Agent"
"TF_SPY_FEIGN_DEATH_KILL_DESC"	"在最後 20 秒殺死讓你裝死的敵人。"
"[english]TF_SPY_FEIGN_DEATH_KILL_DESC"	"Kill an enemy who triggered your feign death in the last 20 seconds."
"TF_SPY_AMBASSADOR_SCOUT_GRIND_NAME"	"誰是老大？"
"[english]TF_SPY_AMBASSADOR_SCOUT_GRIND_NAME"	"Who's Your Daddy?"
"TF_SPY_AMBASSADOR_SCOUT_GRIND_DESC"	"使用 Ambassador 射中 3 名 Scout 的頭部。"
"[english]TF_SPY_AMBASSADOR_SCOUT_GRIND_DESC"	"Headshot 3 Scouts with the Ambassador."
"TF_SPY_CAMP_POSITION_NAME"	"臥底高手"
"[english]TF_SPY_CAMP_POSITION_NAME"	"Deep Undercover"
"TF_SPY_CAMP_POSITION_DESC"	"使用隱形與匕首時，在相同區域中只用一條命就殺死同一名敵人 3 次。"
"[english]TF_SPY_CAMP_POSITION_DESC"	"While using the Cloak and Dagger, kill the same enemy 3 times, all within the same area in a single life."
"TF_SPY_ACHIEVE_PROGRESS1_NAME"	"Spy 里程碑 1"
"[english]TF_SPY_ACHIEVE_PROGRESS1_NAME"	"Spy Milestone 1"
"TF_SPY_ACHIEVE_PROGRESS1_DESC"	"達成在 Spy Pack 中的 5 項成就。"
"[english]TF_SPY_ACHIEVE_PROGRESS1_DESC"	"Achieve 5 of the achievements in the Spy pack."
"TF_SPY_ACHIEVE_PROGRESS2_NAME"	"Spy 里程碑 2"
"[english]TF_SPY_ACHIEVE_PROGRESS2_NAME"	"Spy Milestone 2"
"TF_SPY_ACHIEVE_PROGRESS2_DESC"	"達成在 Spy Pack 中的 11 項成就。"
"[english]TF_SPY_ACHIEVE_PROGRESS2_DESC"	"Achieve 11 of the achievements in the Spy pack."
"TF_SPY_ACHIEVE_PROGRESS3_NAME"	"Spy 里程碑 3"
"[english]TF_SPY_ACHIEVE_PROGRESS3_NAME"	"Spy Milestone 3"
"TF_SPY_ACHIEVE_PROGRESS3_DESC"	"達成在 Spy Pack 中的 17 項成就。"
"[english]TF_SPY_ACHIEVE_PROGRESS3_DESC"	"Achieve 17 of the achievements in the Spy pack."
"TF_HALLOWEEN_COLLECT_PUMPKINS_NAME"	"糖果驗屍官"
"[english]TF_HALLOWEEN_COLLECT_PUMPKINS_NAME"	"Candy Coroner"
"TF_HALLOWEEN_COLLECT_PUMPKINS_DESC"	"從死去玩家的身上搜刮 20 個萬聖節南瓜以獲得帽子。"
"[english]TF_HALLOWEEN_COLLECT_PUMPKINS_DESC"	"Collect 20 Halloween pumpkins from dead players to unlock a hat."
"TF_HALLOWEEN_DOMINATE_FOR_HAT_NAME"	"搶奪驚悚大禮帽"
"[english]TF_HALLOWEEN_DOMINATE_FOR_HAT_NAME"	"Ghastly Gibus Grab"
"TF_HALLOWEEN_DOMINATE_FOR_HAT_DESC"	"壓制戴上驚悚大禮帽的玩家以獲得該頂帽子。"
"[english]TF_HALLOWEEN_DOMINATE_FOR_HAT_DESC"	"Dominate a player wearing the Ghastly Gibus to earn your own."
"TF_HALLOWEEN_KILL_SCARED_PLAYER_NAME"	"小生夢驚魂"
"[english]TF_HALLOWEEN_KILL_SCARED_PLAYER_NAME"	"Scared Stiff"
"TF_HALLOWEEN_KILL_SCARED_PLAYER_DESC"	"殺死一名被 KOTH Harvest 遊魂嚇到的玩家。"
"[english]TF_HALLOWEEN_KILL_SCARED_PLAYER_DESC"	"Kill a player scared by the ghost haunting KOTH Harvest."
"TF_HALLOWEEN_PUMPKIN_KILL_NAME"	"南瓜燈的逆襲"
"[english]TF_HALLOWEEN_PUMPKIN_KILL_NAME"	"Attack o' Lantern"
"TF_HALLOWEEN_PUMPKIN_KILL_DESC"	"引爆南瓜炸彈並炸死周圍的 5 名玩家。"
"[english]TF_HALLOWEEN_PUMPKIN_KILL_DESC"	"Cause the deaths of 5 players by exploding nearby pumpkin bombs."
"TF_HALLOWEEN_DISGUISED_SPY_KILL_NAME"	"超級名模生死鬥"
"[english]TF_HALLOWEEN_DISGUISED_SPY_KILL_NAME"	"Costume Contest"
"TF_HALLOWEEN_DISGUISED_SPY_KILL_DESC"	"殺死偽裝成你目前兵種的 Spy。"
"[english]TF_HALLOWEEN_DISGUISED_SPY_KILL_DESC"	"Kill a Spy disguised as your current class."
"TF_SOLDIER_ACHIEVE_PROGRESS1_NAME"	"Soldier 里程碑 1"
"[english]TF_SOLDIER_ACHIEVE_PROGRESS1_NAME"	"Soldier Milestone 1"
"TF_SOLDIER_ACHIEVE_PROGRESS1_DESC"	"達成在 Soldier Pack 中的 5 項成就。"
"[english]TF_SOLDIER_ACHIEVE_PROGRESS1_DESC"	"Achieve 5 of the achievements in the Soldier pack."
"TF_SOLDIER_ACHIEVE_PROGRESS2_NAME"	"Soldier 里程碑 2"
"[english]TF_SOLDIER_ACHIEVE_PROGRESS2_NAME"	"Soldier Milestone 2"
"TF_SOLDIER_ACHIEVE_PROGRESS2_DESC"	"達成在 Soldier Pack 中的 11 項成就。"
"[english]TF_SOLDIER_ACHIEVE_PROGRESS2_DESC"	"Achieve 11 of the achievements in the Soldier pack."
"TF_SOLDIER_ACHIEVE_PROGRESS3_NAME"	"Soldier 里程碑 3"
"[english]TF_SOLDIER_ACHIEVE_PROGRESS3_NAME"	"Soldier Milestone 3"
"TF_SOLDIER_ACHIEVE_PROGRESS3_DESC"	"達成在 Soldier Pack 中的 17 項成就。"
"[english]TF_SOLDIER_ACHIEVE_PROGRESS3_DESC"	"Achieve 17 of the achievements in the Soldier pack."
"TF_SOLDIER_KILL_GROUP_WITH_CROCKET_NAME"	"一石三鳥"
"[english]TF_SOLDIER_KILL_GROUP_WITH_CROCKET_NAME"	"Tri-Splatteral Damage"
"TF_SOLDIER_KILL_GROUP_WITH_CROCKET_DESC"	"利用一發爆擊火箭殺死 3 名敵人。"
"[english]TF_SOLDIER_KILL_GROUP_WITH_CROCKET_DESC"	"Kill 3 enemies with a single critical rocket."
"TF_SOLDIER_KILL_TWO_DURING_ROCKET_JUMP_NAME"	"死神降臨"
"[english]TF_SOLDIER_KILL_TWO_DURING_ROCKET_JUMP_NAME"	"Death from Above"
"TF_SOLDIER_KILL_TWO_DURING_ROCKET_JUMP_DESC"	"使用火箭跳躍並在著地前殺死 2 名敵人。"
"[english]TF_SOLDIER_KILL_TWO_DURING_ROCKET_JUMP_DESC"	"Rocket jump and kill 2 enemies before you land."
"TF_SOLDIER_THREE_DOMINATIONS_NAME"	"霸主"
"[english]TF_SOLDIER_THREE_DOMINATIONS_NAME"	"Dominator"
"TF_SOLDIER_THREE_DOMINATIONS_DESC"	"只用一條命便取得 3 次壓制次數。"
"[english]TF_SOLDIER_THREE_DOMINATIONS_DESC"	"Get 3 dominations in a single life."
"TF_SOLDIER_DEFEND_MEDIC_NAME"	"戰犯懲處"
"[english]TF_SOLDIER_DEFEND_MEDIC_NAME"	"War Crime and Punishment"
"TF_SOLDIER_DEFEND_MEDIC_DESC"	"只用一條命便殺死 3 名敵人，這些敵人都曾傷害為你治療的 Medic。"
"[english]TF_SOLDIER_DEFEND_MEDIC_DESC"	"In a single life, kill 3 enemies who have damaged a Medic that is healing you."
"TF_SOLDIER_KILL_TAUNT_NAME"	"炸翻天"
"[english]TF_SOLDIER_KILL_TAUNT_NAME"	"Spray of Defeat"
"TF_SOLDIER_KILL_TAUNT_DESC"	"使用手榴彈炸翻玩家。"
